 450  1.49172e+06  i	 450  25904  i
 451  1.49563e+06  i	 451  26072  i
 452  1.49734e+06  i	 452  26174  i
 453  1.50418e+06  i	
 454  1.51273e+06  i	
 455  1.51989e+06  i	
 456  1.52605e+06  i	
 457  1.5298e+06  i	
 458  1.5319e+06  i	
	
